French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
mois,month
frère,brother
car,because
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
donné,given
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
première,first
pouvoir,power
vieux,old
sois,be
tiens,here
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
